user_original,user_index
1,0
4,1
5,2
7,3
8,4
9,5
10,6
11,7
12,8
13,9
14,10
15,11
18,12
19,13
22,14
23,15
24,16
26,17
27,18
28,19
29,20
31,21
32,22
33,23
34,24
35,25
36,26
40,27
41,28
43,29
44,30
46,31
47,32
49,33
50,34
51,35
52,36
54,37
55,38
57,39
60,40
61,41
62,42
65,43
67,44
71,45
72,46
73,47
75,48
76,49
79,50
81,51
82,52
85,53
87,54
88,55
89,56
90,57
92,58
93,59
95,60
96,61
97,62
98,63
101,64
103,65
104,66
105,67
107,68
108,69
109,70
111,71
112,72
113,73
116,74
118,75
119,76
121,77
123,78
124,79
125,80
126,81
127,82
128,83
129,84
130,85
132,86
133,87
135,88
137,89
138,90
139,91
140,92
141,93
142,94
143,95
145,96
146,97
148,98
149,99
151,100
152,101
153,102
154,103
156,104
158,105
163,106
164,107
165,108
166,109
167,110
169,111
170,112
172,113
173,114
174,115
175,116
177,117
178,118
179,119
180,120
181,121
182,122
183,123
184,124
185,125
186,126
187,127
188,128
192,129
193,130
194,131
195,132
196,133
199,134
200,135
202,136
203,137
204,138
205,139
206,140
207,141
208,142
209,143
211,144
212,145
213,146
215,147
217,148
218,149
219,150
220,151
221,152
222,153
223,154
224,155
226,156
228,157
229,158
230,159
231,160
232,161
233,162
234,163
235,164
236,165
237,166
239,167
241,168
242,169
243,170
244,171
245,172
246,173
247,174
248,175
249,176
250,177
251,178
252,179
253,180
254,181
256,182
258,183
259,184
261,185
262,186
263,187
265,188
266,189
267,190
268,191
269,192
270,193
272,194
274,195
275,196
276,197
277,198
278,199
279,200
280,201
281,202
282,203
283,204
284,205
285,206
286,207
287,208
288,209
289,210
290,211
291,212
293,213
294,214
295,215
296,216
298,217
301,218
303,219
306,220
307,221
309,222
310,223
311,224
313,225
314,226
315,227
317,228
319,229
320,230
321,231
322,232
323,233
324,234
325,235
326,236
327,237
328,238
329,239
332,240
334,241
335,242
336,243
338,244
341,245
342,246
343,247
344,248
345,249
346,250
349,251
351,252
352,253
353,254
356,255
357,256
358,257
359,258
360,259
361,260
362,261
363,262
365,263
366,264
367,265
368,266
370,267
371,268
372,269
374,270
375,271
376,272
377,273
378,274
379,275
381,276
383,277
384,278
385,279
387,280
388,281
389,282
390,283
392,284
393,285
394,286
395,287
396,288
397,289
398,290
399,291
400,292
402,293
403,294
405,295
406,296
407,297
409,298
410,299
412,300
413,301
414,302
416,303
417,304
419,305
420,306
421,307
422,308
424,309
425,310
426,311
427,312
429,313
430,314
431,315
432,316
434,317
436,318
437,319
439,320
440,321
441,322
443,323
445,324
446,325
447,326
448,327
450,328
451,329
452,330
453,331
454,332
455,333
456,334
457,335
458,336
459,337
460,338
461,339
462,340
463,341
466,342
467,343
468,344
469,345
470,346
471,347
472,348
473,349
474,350
475,351
476,352
477,353
478,354
479,355
480,356
481,357
483,358
484,359
485,360
487,361
488,362
489,363
490,364
491,365
493,366
494,367
495,368
496,369
497,370
498,371
499,372
500,373
502,374
503,375
504,376
505,377
506,378
507,379
508,380
509,381
510,382
512,383
513,384
516,385
517,386
519,387
520,388
522,389
523,390
524,391
526,392
528,393
529,394
530,395
531,396
532,397
533,398
534,399
535,400
536,401
537,402
538,403
540,404
541,405
542,406
543,407
546,408
547,409
548,410
550,411
551,412
553,413
554,414
555,415
556,416
557,417
558,418
559,419
560,420
564,421
566,422
567,423
568,424
569,425
570,426
571,427
573,428
574,429
575,430
576,431
577,432
578,433
579,434
582,435
583,436
584,437
585,438
586,439
588,440
589,441
591,442
592,443
593,444
594,445
595,446
596,447
597,448
598,449
599,450
600,451
602,452
603,453
605,454
606,455
607,456
608,457
609,458
610,459
611,460
612,461
613,462
614,463
615,464
616,465
617,466
618,467
619,468
620,469
621,470
623,471
624,472
625,473
626,474
628,475
629,476
630,477
631,478
632,479
633,480
634,481
635,482
636,483
637,484
638,485
639,486
640,487
641,488
642,489
643,490
644,491
645,492
646,493
647,494
648,495
650,496
652,497
653,498
655,499
656,500
657,501
659,502
660,503
661,504
662,505
663,506
664,507
668,508
669,509
670,510
671,511
672,512
673,513
674,514
675,515
676,516
677,517
678,518
679,519
680,520
681,521
682,522
683,523
684,524
685,525
686,526
687,527
688,528
689,529
690,530
692,531
693,532
694,533
695,534
697,535
698,536
699,537
701,538
703,539
706,540
709,541
710,542
711,543
712,544
713,545
714,546
715,547
716,548
717,549
718,550
719,551
720,552
723,553
724,554
725,555
726,556
727,557
728,558
730,559
731,560
732,561
735,562
736,563
737,564
738,565
739,566
740,567
742,568
743,569
744,570
745,571
746,572
748,573
749,574
750,575
751,576
752,577
753,578
754,579
755,580
756,581
757,582
758,583
759,584
760,585
762,586
763,587
765,588
766,589
767,590
768,591
769,592
770,593
771,594
772,595
774,596
776,597
777,598
778,599
779,600
780,601
781,602
782,603
783,604
784,605
785,606
786,607
787,608
789,609
790,610
791,611
793,612
794,613
795,614
796,615
797,616
798,617
799,618
800,619
801,620
802,621
803,622
804,623
805,624
806,625
808,626
809,627
811,628
812,629
813,630
814,631
815,632
816,633
817,634
818,635
819,636
820,637
821,638
822,639
824,640
825,641
826,642
827,643
828,644
829,645
830,646
832,647
833,648
834,649
835,650
836,651
837,652
838,653
839,654
840,655
841,656
844,657
845,658
847,659
848,660
849,661
850,662
851,663
852,664
854,665
855,666
856,667
857,668
858,669
859,670
860,671
861,672
862,673
863,674
865,675
866,676
869,677
870,678
871,679
872,680
873,681
874,682
875,683
876,684
877,685
878,686
879,687
880,688
881,689
882,690
883,691
884,692
885,693
887,694
888,695
889,696
890,697
891,698
892,699
893,700
894,701
895,702
896,703
897,704
898,705
900,706
901,707
902,708
904,709
905,710
906,711
907,712
908,713
909,714
910,715
911,716
912,717
